NCT Number,Study Title,Study URL,Brief Summary
NCT06626477,Intra-Nasal Mechanical Stimulation (INMEST) As a Potential Treatment Method for Sjogren's Syndrome (SS),https://clinicaltrials.gov/study/NCT06626477,"The purpose of the study is to investigate the effect and safety of the Walther System delivering INMEST (intranasal mechanical stimulation) on people with Sjogren\&amp;#39;s syndrome. A total of 30 subjects are planned to be enrolled and randomized to either use an active device or a sham device for the first 6 weeks. During the last 6 weeks all subjects will receive active treatment. The treatments are self-administered by the subject at home, three times a week and 10 minutes per nostril.

Subjects will:

* Use an active or sham device at home 3 times per week for six weeks.
* All subjects will then get an active device for use another six weeks.
* Visit the clinic every third week for measurements and checkups.
* Keep a diary of the treatments and potential problems."
NCT06626386,Determination of Prostate-specific Antigen in Capillary Blood (PSA-Cap),https://clinicaltrials.gov/study/NCT06626386,"The aim of the PSA-Cap study is to test the comparability of measurements of total PSA in serum from venipuncture and in serum from capillary blood using anonymized diagnostic blood samples from patients. Furthermore, a stability test of the samples is carried out after storage at room temperature for 24, 72/96 and 168 hours. Particular attention is paid to the comparability of the measurement results and the influence of the transportation time."
NCT06626295,Exercise-snacks for Breaking the Sedentary Lifestyle and Improving the Physical Fitness of Obese Adolescents?,https://clinicaltrials.gov/study/NCT06626295,"The management of a person with obesity involves long-term behavioral changes with a balanced diet in both quantity and quality, along with the adoption of a more active lifestyle: increasing physical activities and reducing sedentary behaviors. The school setting has been identified as a favorable environment for interventions aimed at reducing and interrupting the time adolescents spend sitting and preventing the associated negative health consequences.

Recently, very short (\&lt; 1 minute) and intense exercises, called 'exercise-snacks,' have been reported to be effective in adults for 1) improving physical fitness over 6 weeks, and 2) improving vascular function and lowering blood glucose levels over a single day. Additionally, in adolescents with diabetes, they have been shown to reduce body fat. This raises the question of whether adding \&#39;exercise-snack\&#39; sessions to a multidimensional care program for hospitalized obese adolescents could further improve their physical fitness in the short and medium term.

The objective of this project is to compare the effects of a traditional multidimensional care program with the addition of 'exercise-snacks' to the same care program without \&#39;exercise-snacks\&#39; on the physical fitness, body composition, vascular function, and physical activity and sedentary behaviors of obese children in the short and medium term. Thirty-six obese adolescents will be included. The \&#39;exercise-snack\&#39; group will perform six exercise sessions per day for three weeks in addition to the standard care. The control group will receive only the standard care. Assessments of physical fitness, body composition, vascular health, and questionnaires on physical activity, sedentary behavior, and cognitive restraint will be conducted at the beginning and end of the three-week program, as well as 1 and 3 months after the end of the program."
NCT06626243,"Analysis of RATS, VATS and Open Lung Resections After Neoadjuvant Chemo-immunotherapy in Patients Performed in Five Referred Centers",https://clinicaltrials.gov/study/NCT06626243,"The study is a retrospective observational study. The study is designed to be multicentric and international and it will analyze medical records from selected patients diagnosed with locally advanced and resectable NSCLC who underwent lung resection by robotic, VATS and open approach after receiving neoadjuvant chemo-immunotherapy.

There are no risks for the patients, as this is a retrospective data collection."
NCT06626204,Exploration and Application of Intelligent Difficult Airway Assessment Scheme,https://clinicaltrials.gov/study/NCT06626204,"The study aims to explore the effectiveness of an intelligent difficult airway assessment protocol and its potential in clinical applications. The management of difficult airways is a critical task in anesthesiology, and poor management can lead to severe complications or even death. The American Society of Anesthesiologists defines a difficult airway as one that presents difficulties in mask ventilation or endotracheal intubation. Previous studies have shown that the incidence of difficult airways is not low in patients undergoing general anesthesia, emphasizing the need for optimization of airway management strategies.

Preoperative airway assessment is an essential step in preventing complications associated with difficult airways. Currently, the modified Mallampati classification and the Cormack-Lehane grading are two commonly used assessment tools. However, these methods rely on the subjective judgment of clinicians and may have limitations in accuracy and consistency. With the development of artificial intelligence and telemedicine technologies, new assessment methods have become possible, offering more precise measurements and analysis of airway anatomy.

This study proposes an intelligent airway assessment system that combines phonation modulation and tongue position adjustment, aiming to improve the accuracy and reliability of assessments. The system uses deep learning algorithms to analyze oral images of subjects to predict airway difficulty. The study will also explore the correlation of this system with traditional assessment methods and establish a predictive model for difficult airways.

As a country with a large population, China has a significant demand for medical and health resources, especially in the fields of surgery and anesthesia. The diversity of China\&#39;s population may affect airway structure, thereby influencing airway management strategies. Therefore, conducting such research in China has important clinical significance and social value."
NCT06626178,Development of an Artificial Intelligence Model for the Identification and Prevention of Smoking-related Diseases.,https://clinicaltrials.gov/study/NCT06626178,The study is an interventional pilot study. The study is designed to be monocentric and it presents additional procedues.
NCT06626165,Association Between Effectiveness of Mirikizumab and Ulcerative Colitis Patients With High Neutrophilic Infiltration in Epithelium of the Colonic Mucosa,https://clinicaltrials.gov/study/NCT06626165,"The goal of this study is to confirm that Mirikizumab therapy may provide clinical, endoscopic, and histopathologic improvements in patients with moderate to severe UC refractory to maintenance therapy when high neutrophilic infiltration in epithelium of the colonic mucosa (Geboes score Grade ≥3.2) on endoscopic biopsy is found."
NCT06626152,Measuring Psychomotor Response to L-DOPA Challenge As a Biomarker for Outcomes in Late-Life Depression: a Pilot Feasibility Trial,https://clinicaltrials.gov/study/NCT06626152,"Background

Adults over the age of 60 with symptoms of major depressive disorder are said to have late-life depression (LLD), a condition that usually decreases a person's quality of life and is associated with other risks like physical frailty and dementia. A common feature of more severe LLD is psychomotor slowing, where a person's ability to think and move are impaired. For example, they might not be able to walk or process information as quickly, and they might have problems with their working memory.

Psychomotor slowing in LLD might be the result of a problem with the way a person's body produces or responds to the neurotransmitter dopamine. The drug Levodopa (L-DOPA), which can replace missing dopamine in the brain, has been used to treat to treat Parkinson's disease for many decades, and it might also affect psychomotor slowing in LLD.

Methods

In this study, participants are adults aged 60 years or older with moderate to severe major depression. Participants undergo the ""L-DOPA challenge""-a 2-week period where they receive a dose of L-DOPA once a day for the first week and a dose of L-DOPA twice a day for the second week. Before and after a participant completes the L-DOPA challenge, the study team assesses their depressive symptoms and psychomotor function. After the L-DOPA challenge, if a participant still shows signs of moderate or severe depression, they receive an antidepressant for 12 weeks.

Aims

The first aim of this study is to test the feasibility of the L-DOPA challenge-that is, whether most of the 50 participants recruited for this study will complete the L-DOPA challenge. For example, participants might have to withdraw if they can't make the daily visits to the research site to receive their L-DOPA medication, if they can't tolerate the medication's side effects, or if their depressive symptoms get significantly worse. Our hypothesis is that 80% of the participants will complete the L-DOPA challenge.

The second aim of the study is to see if L-DOPA affects participants' depressive symptoms, processing speed, and working memory. Our hypothesis is that L-DOPA response, measured as an improvement in gait speed, is associated with a decrease in depressive symptoms and an increase in processing speed and working memory."
NCT06626113,Transduction of Sympathetic Neural Activity in Human Obesity Without Hypertension,https://clinicaltrials.gov/study/NCT06626113,"In addition to chronically elevated MSNA, there is a growing recognition that hypertension in states of insulin resistance and obesity may also be attributed to an increased vascular sensitivity to MSNA (1, 2, 13, 36-38). To study this phenomenon, we quantify vascular sensitivity to MSNA using an innovative, moment-to-moment assessment of the blood pressure response following individual bursts of muscle sympathetic nerve activity (MSNA), (10, 11, 34, 37). This approach is termed 'sympathetic-vascular transduction (SVT).' We will examine the hypothesis that SVT is exaggerated in obesity and insulin resistance and is attenuated by suppression of oxidative stress. Oxidative stress is the overabundance of reactive oxygen species and is another hallmark of hypertension, obesity, and insulin resistance. Oxidative stress can be safely reduced via intravenous infusion of ascorbic acid (Vit C) (4, 28). Therefore, we will use a randomized, double-blinded, placebo-controlled approach to test the hypothesis that elevated SVT will be attenuated by suppression of oxidative stress via ascorbic acid I.V. infusion compared with saline I.V. infusion (placebo) in obese adults with insulin resistance. Our study will identify a unique mechanism that can be targeted to reduce the excessively high prevalence of hypertension and risk for CVD in obesity and insulin resistance."
NCT06626087,A Prototype Artificial Intelligence Algorithm Versus Liver Imaging Reporting and Data System (LI-RADS) Criteria in Diagnosing Hepatocellular Carcinoma on Computed Tomography: a Randomized Trial,https://clinicaltrials.gov/study/NCT06626087,This study aims to prospective validate this AI algorithm in comparison with the current standard of radiological reporting in a randomized manner in the at-risk population undergoing triphasic contrast CT. This research project is totally independent and separated from the actual clinical reporting of the CT scan by the duty radiologist. The primary study outcome is to compare the diagnostic performance of the prototype AI algorithm versus LI-RADS criteria in determining HCC on CT in the at-risk population.
NCT06625996,Examining the Effectiveness of Carbohydrate Loading as a Nursing Intervention in Enhanced Recovery After Surgery,https://clinicaltrials.gov/study/NCT06625996,"The concept of Enhanced Recovery After Surgery (ERAS) protocols has revolutionized perioperative care by promoting a series of evidence-based practices aimed at reducing surgical stress and improving patient outcomes. Among these practices, preoperative carbohydrate loading has emerged as a significant intervention designed to mitigate the adverse metabolic effects of surgery"
NCT06625892,Related Factors and Outcome of Kinesiophobia and the Effects of Multidimensional Intervention in Cardiac Surgery Patients,https://clinicaltrials.gov/study/NCT06625892,"The primary objective of this two-year research project is to investigate the status of activity fear, its related factors, and prognosis in cardiac surgery patients in the first year. Subsequently, the study aims to develop a comprehensive intervention strategy combining exercise with cognitive-behavioral approaches tailored for cardiac surgery patients and assess the effectiveness of this intervention on activity fear, prognosis, and quality of life in the second year.

The study uses a convenient sampling method, focusing on patients undergoing cardiac surgery in the cardiac surgery ward of the Central Medical Center. The first-year research adopts a descriptive, correlational, and repeated-measures design, while the second-year research employs an experimental design. Participants are randomly assigned to either the experimental or control group. The experimental group undergoes a 12-week multidimensional interventions, while the control group receives no intervention. Data are collected through structured questionnaires. Data collection occurs at discharge, two weeks post-discharge, six weeks, 12 weeks, and 24 weeks."
NCT06625749,Evaluate the Safety and Effectiveness of the AccuraSee™ IOPCL for Secondary Implantation in the Capsular Bag to Improve Near and/or Intermediate Vision Following Previous Cataract Surgery,https://clinicaltrials.gov/study/NCT06625749,This is a study to evaluate the safety and effectiveness of the AccuraSee™ intraocular pseudophakic capsular lens (IOPCL) to improve near and/or intermediate vision following previous cataract surgery.
NCT06625697,Mindfulness Training and Respiration Biosignal Feedback - Study 1,https://clinicaltrials.gov/study/NCT06625697,"The goal of this research is to develop a new breathing feature on the meditation app, Equa, to help young adults who are distressed, understand their physiological responses and mindfulness skill development during meditation.

Our main aims are to build an algorithm that can use respiration signals (i.e., breathing) to:

* Give feedback about how participant physiology is changing during guided lessons on the meditation app, Equa
* Measure how much participant mindfulness skills are improving

Participants will:

* Complete a survey about demographics, their thoughts and feelings before and after the mindfulness meditation program
* Complete 14 smartphone guided mindfulness meditation training units while physiological measures are being recorded
* Complete a few brief questionnaires before and after mindfulness practices to understand potential changes in their mindfulness skills"
NCT06625541,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of AJ302-IM in Healthy Volunteers",https://clinicaltrials.gov/study/NCT06625541,"The purpose of this study is to evaluate the safety, tolerability, pharmacokinetics, and pharmacodynamics of AJ302-IM following intramuscular administration of single ascending doses in healthy volunteers."
NCT06625424,Effect of Short Sprint Interval Training With Active Recovery as Compared to Passive Recovery on Anaerobic Capacity in Non-athletic Population,https://clinicaltrials.gov/study/NCT06625424,"Short Sprint Interval Training (SSIT) is a modified form of Sprint Interval Training (SIT) defined as ""small bouts of supramaximal exercise with recovery periods between them to increase peak oxygen uptake in spite of having a less amount of exercise volume"". SSIT was developed so that non- athletic population could also perform a training which was originally designed for athletes to increase anaerobic capacity. The benefit of this type of exercise is that it is time efficient and yields the result in short amount of time as compared to other type of exercises due to its vigorous nature. Moreover this sort of training is mostly performed in lab setting rather than on field, therefore the aim of this study is to determine the effect of short sprint interval training in a field with active recovery as compared to passive recovery on anaerobic capacity in non-athletic population."
NCT06625411,"An Efficacy, Safety, and Tolerability Study of VRDN-003 in Participants with Active Thyroid Eye Disease (TED)",https://clinicaltrials.gov/study/NCT06625411,"This is a clinical trial assessing the efficacy, safety, and tolerability of an investigational drug, VRDN-003, in participants with active Thyroid Eye Disease (TED)."
NCT06625398,"An Efficacy, Safety, and Tolerability Study of VRDN-003 in Participants with Chronic Thyroid Eye Disease (TED)",https://clinicaltrials.gov/study/NCT06625398,"This is a clinical trial assessing the efficacy, safety, and tolerability of an investigational drug, VRDN-003, in participants with chronic Thyroid Eye Disease (TED)."
NCT06625346,Clinical Response of EXTOR (Amlodipine/Valsartan) in Newly Diagnosed Hypertensive Patients.,https://clinicaltrials.gov/study/NCT06625346,"The American College of Cardiology/American Heart Association hypertension guidelines recommend treatment initiation with dual antihypertensive therapy in adults with stage 2 hypertension (corresponding to grade 1 and 2 in the ESH classification) and an average BP \>20/10 mm Hg above target. Amlodipine and valsartan are two of the most commonly prescribed medications for the treatment of hypertension (high blood pressure). In Pakistan multiple studies were conducted on Hypertension and use of Single Pill Combination in uncontrolled Hypertension. However, no study was conducted to assess the role of Single Pill Combination (SPC) like Amlodipine and Valsartan in newly diagnosed hypertension and to assess their quality of life by patients' satisfaction with their medication after managing the hypertension with the SPC."
NCT06625281,Effects of Epleys Maneuver Versus Semont-Plus Maneuver Combined with Brandt-Daroff Exercises on Dizziness and Quality of Life in Benign Paroxysmal Positional Vertigo,https://clinicaltrials.gov/study/NCT06625281,"Vestibular hypofunction can result in symptoms consisting of dizziness, imbalance, and/or oscillopsia, gaze and gait instability, and impaired navigation and spatial orientation; thus, may negatively impact an individual\&#39;s quality of life, and ability to perform activities of daily living.

Benign paroxysmal positional vertigo (BPPV) is the most common peripheral vestibular disorder which occurs with changing of the positions lying down, rolling over, climbing stairs, or looking up and down. The typical symptoms include dizziness, loss of balance, nystagmus, and nausea, limiting the daily activities of life and functional capacity.

Much research has been done to rule out the prime treatment for posterior canal-BPPV using vestibular rehabilitation therapy (VRT), Canalith repositioning maneuvers (CRM), and habituation exercises, but scarce literature renders the combination of maneuvers and exercises.

The current study will be used to determine and compare the effects of Epley\&#39;s maneuver Versus the Semont-Plus maneuver combined with Brandt-Daroff exercises on Dizziness and Quality of life in participants with pc-Benign paroxysmal positional vertigo. The participants having clinically diagnosed Posterior canal Benign paroxysmal positional vertigo (BPPV) will be selected in this study.

The outcome measure will be the Dizziness Handicap Inventory (DHI) to assess the Dizziness in participants and Vestibular activities and the participation measure (VAP) will assess the Quality of life. For such a randomized control trial a sample of 40 participants will be taken with 20 participants in each group will be included in the study. One group will undergo Epley's Maneuver and Brandt-daroff exercises and the second group will receive Semont-plus maneuver and Brandt-daroff exercises. Scores will be taken again after intervention. The study will be conducted over 1 year at Fauji Foundation Hospital and Foundation University Islamabad. Participants of interest would be approached and explained about the research. Informed written consent will be taken first. Recruited participants will be allocated to either of the groups through a convenient sampling method.

All outcome measurements would be performed first at baseline and then after the 6 weeks intervention period.."
NCT06625268,Rapid Point-of-care Bacteriuria and Microbial Susceptibility for Women With Suspected Uncomplicated Urinary Tract Infections: Diagnostic Accuracy in General Practice.,https://clinicaltrials.gov/study/NCT06625268,"In this study, adult women presenting at their general practitioner with a likely bladder infection (with symptoms like a burning sensation when urinating, pain in the lower abdomen, and frequent or urgent need to urinate) will be invited. After informed consent, women provide a urine sample, which is tested using a new system called the PA-100-AST (from the manufacturer Sysmex). This point-of-care test showed first evidence to be able to quickly detect the presence of bacteria commonly responsible for bladder infections. If bacteria are found, the test also checks which antibiotics may work best to treat the infection. Additionally, a sample of the urine is sent to a lab for a traditional culture test, which is considered the most accurate method. The goal of this study is to compare the accuracy of the PA-100-AST system to the lab-based test to see how well it works in general practice."
NCT06625255,Promoting Family Resilience: Tier 1 Strength-based Parent Education Program to Promote Child and Family Resilience,https://clinicaltrials.gov/study/NCT06625255,"Health inequalities, social isolation, and family adversity impact a child's development. Play is the context for children\&#39;s development in all areas. A parent\&#39;s ability to support children at play while being playful contributes to their psychological adjustment. The proposed tier 1, strengths-based educational program for parents of children aged 2 to 5 years with and without disabilities combines elements of a play-based approach and tips on effective parenting to support children's development by equipping parents with knowledge and empowering them to become change agents in their children's lives."
